_id,additional,firstName,lastName,role,fullName,occupation
6504166ba47588ad6024b64b,1745-1812,Johann Franz Hieronymus,Brockmann,Odoardo,Johann Franz Hieronymus Brockmann,Schauspieler
6504166ba47588ad6024a65d,1919-1990,Jochen,Brockmann,Kaplan Gregor v. Schigorsky,Jochen Brockmann,Schauspieler
6504166ba47588ad6024a65f,1740-1793,Theresia Maria,Brockmann,"Pauline, Kammerfrau der Gräfinn",Theresia Maria Brockmann,Schauspieler
6912033ddd3949980ba0dbe2,,James,Broderick,Her Son,James Broderick,Schauspieler
690c5cf952365fce4c9876c5,,Peter,Brook,Musik,Peter Brook,Schauspieler
67161462f135e6832011b3f4,,Jakob,Brossmann,Bühne,Jakob Brossmann,Schauspieler
6504166ba47588ad6024a650,,Rudolf,Bruffel,"Fritz, sein Sohn",Rudolf Bruffel,Schauspieler
6504166ba47588ad6024a64e,,Inge,Brücklmeier,Veronika,Inge Brücklmeier,Schauspieler
662632bd46b3b9baaf55be8b,Gast vom Stadttheater Hamburg,Herr,Brüning,Doktor Wespe,Herr Brüning,Schauspieler
6504166ba47588ad6024a666,1809-1873,Josef,Buel,Francisco,Josef Buel,Schauspieler
6504166ba47588ad6024b658,,Emmerich von,Bukovics,"Christian Thimotheus Bloom, Großkaufmann",Emmerich von Bukovics,Schauspieler
6504166ba47588ad6024a66b,"1834-1888, Hofschauspieler",Karl,Bukowics,Rat Zabern,Karl Bukowics,Schauspieler
6504166ba47588ad6024b659,,Edward Lord Lytton,Bulwer,,Edward Lord Lytton Bulwer,Schauspieler
6504166ba47588ad6024a678,,Maria,Burg,"Margot, Blumenmädchen",Maria Burg,Schauspieler
690c5ddb52365fce4c987810,,Raymond,Burge,Chief Technician,Raymond Burge,Schauspieler
6504166ba47588ad6024a67a,,Carl,Burggraf,Hirt,Carl Burggraf,Schauspieler
6504166ba47588ad6024a67b,,Hermann,Burghart (Burghardt),Bühnenbild,Hermann Burghart (Burghardt),Schauspieler
6504166ba47588ad6024a67c,,Karl,Burgstaller,Prinz Albert von Sachsen-Koburg,Karl Burgstaller,Schauspieler
6504166ba47588ad6024a671,1926-2011,Gandolf,Buschbeck,"Hoppel, ein junger Hase",Gandolf Buschbeck,Schauspieler
6504166ba47588ad6024a675,auch Jeanne,Johanna,Buska,Katharina,Johanna Buska,Schauspieler
6716137e1154ae2a37b10091,,Gabriella,Bussacker,Dramaturgie,Gabriella Bussacker,Schauspieler
